nohup: ignoring input
name:3pro,index:0
name:4pro,index:1
name:Dji,index:2
name:dao,index:3
name:ha,index:4
name:3pro,index:0
name:4pro,index:1
name:Dji,index:2
name:dao,index:3
name:ha,index:4
Train: [1][10/1465]	BT 0.056 (0.515)	DT 0.000 (0.100)	loss 0.840 (1.279)	Acc@1 84.375 (66.875)
Train: [1][340/1465]	BT 0.042 (0.066)	DT 0.000 (0.003)	loss 0.017 (0.110)	Acc@1 100.000 (97.748)
Train: [1][350/1465]	BT 0.044 (0.065)	DT 0.000 (0.003)	loss 0.016 (0.107)	Acc@1 100.000 (97.812)
Train: [1][360/1465]	BT 0.057 (0.065)	DT 0.000 (0.003)	loss 0.022 (0.105)	Acc@1 100.000 (97.873)
Train: [1][370/1465]	BT 0.044 (0.065)	DT 0.000 (0.003)	loss 0.014 (0.102)	Acc@1 100.000 (97.922)
Train: [1][380/1465]	BT 0.056 (0.064)	DT 0.000 (0.003)	loss 0.018 (0.101)	Acc@1 100.000 (97.961)
Train: [1][390/1465]	BT 0.050 (0.064)	DT 0.000 (0.003)	loss 0.098 (0.099)	Acc@1 96.875 (97.997)
Train: [1][400/1465]	BT 0.056 (0.064)	DT 0.000 (0.003)	loss 0.020 (0.097)	Acc@1 100.000 (98.023)
Train: [1][410/1465]	BT 0.056 (0.063)	DT 0.000 (0.003)	loss 0.027 (0.096)	Acc@1 100.000 (98.064)
Train: [1][420/1465]	BT 0.055 (0.063)	DT 0.000 (0.003)	loss 0.022 (0.094)	Acc@1 100.000 (98.103)
Train: [1][430/1465]	BT 0.056 (0.063)	DT 0.000 (0.003)	loss 0.022 (0.093)	Acc@1 100.000 (98.140)
Train: [1][440/1465]	BT 0.052 (0.063)	DT 0.000 (0.003)	loss 0.023 (0.091)	Acc@1 100.000 (98.168)
Train: [1][450/1465]	BT 0.056 (0.063)	DT 0.000 (0.002)	loss 0.009 (0.090)	Acc@1 100.000 (98.194)
Train: [1][460/1465]	BT 0.057 (0.062)	DT 0.000 (0.002)	loss 0.016 (0.089)	Acc@1 100.000 (98.227)
Train: [1][470/1465]	BT 0.043 (0.062)	DT 0.000 (0.002)	loss 0.015 (0.087)	Acc@1 100.000 (98.251)
Train: [1][480/1465]	BT 0.043 (0.062)	DT 0.000 (0.002)	loss 0.015 (0.086)	Acc@1 100.000 (98.281)
Train: [1][490/1465]	BT 0.055 (0.062)	DT 0.000 (0.002)	loss 0.016 (0.084)	Acc@1 100.000 (98.316)
Train: [1][500/1465]	BT 0.054 (0.062)	DT 0.000 (0.002)	loss 0.012 (0.083)	Acc@1 100.000 (98.338)
Train: [1][510/1465]	BT 0.054 (0.061)	DT 0.000 (0.002)	loss 0.014 (0.083)	Acc@1 100.000 (98.352)
Train: [1][520/1465]	BT 0.055 (0.061)	DT 0.000 (0.002)	loss 0.013 (0.081)	Acc@1 100.000 (98.377)
Train: [1][530/1465]	BT 0.043 (0.061)	DT 0.000 (0.002)	loss 0.012 (0.080)	Acc@1 100.000 (98.402)
Train: [1][540/1465]	BT 0.052 (0.061)	DT 0.000 (0.002)	loss 0.017 (0.079)	Acc@1 100.000 (98.426)
Train: [1][550/1465]	BT 0.055 (0.061)	DT 0.000 (0.002)	loss 0.044 (0.079)	Acc@1 96.875 (98.415)
Train: [1][560/1465]	BT 0.056 (0.061)	DT 0.000 (0.002)	loss 0.013 (0.078)	Acc@1 100.000 (98.438)
Train: [1][570/1465]	BT 0.052 (0.060)	DT 0.000 (0.002)	loss 0.012 (0.076)	Acc@1 100.000 (98.465)
Train: [1][580/1465]	BT 0.045 (0.060)	DT 0.000 (0.002)	loss 0.023 (0.075)	Acc@1 100.000 (98.486)
Train: [1][590/1465]	BT 0.056 (0.060)	DT 0.000 (0.002)	loss 0.010 (0.074)	Acc@1 100.000 (98.512)
Train: [1][600/1465]	BT 0.054 (0.060)	DT 0.000 (0.002)	loss 0.026 (0.074)	Acc@1 100.000 (98.531)
Train: [1][610/1465]	BT 0.055 (0.060)	DT 0.000 (0.002)	loss 0.015 (0.073)	Acc@1 100.000 (98.550)
Train: [1][620/1465]	BT 0.049 (0.060)	DT 0.000 (0.002)	loss 0.009 (0.072)	Acc@1 100.000 (98.564)
Train: [1][630/1465]	BT 0.055 (0.060)	DT 0.000 (0.002)	loss 0.052 (0.071)	Acc@1 96.875 (98.566)
Train: [1][640/1465]	BT 0.057 (0.060)	DT 0.000 (0.002)	loss 0.014 (0.071)	Acc@1 100.000 (98.579)
Train: [1][650/1465]	BT 0.056 (0.060)	DT 0.000 (0.002)	loss 0.011 (0.070)	Acc@1 100.000 (98.591)
Train: [1][660/1465]	BT 0.043 (0.060)	DT 0.000 (0.002)	loss 0.080 (0.069)	Acc@1 96.875 (98.603)
Train: [1][670/1465]	BT 0.052 (0.059)	DT 0.000 (0.002)	loss 0.011 (0.069)	Acc@1 100.000 (98.615)
Train: [1][680/1465]	BT 0.054 (0.059)	DT 0.000 (0.002)	loss 0.010 (0.068)	Acc@1 100.000 (98.631)
Train: [1][690/1465]	BT 0.056 (0.059)	DT 0.000 (0.002)	loss 0.007 (0.068)	Acc@1 100.000 (98.641)
Train: [1][700/1465]	BT 0.054 (0.059)	DT 0.000 (0.002)	loss 0.013 (0.067)	Acc@1 100.000 (98.661)
Train: [1][710/1465]	BT 0.054 (0.059)	DT 0.000 (0.002)	loss 0.014 (0.066)	Acc@1 100.000 (98.671)
Train: [1][720/1465]	BT 0.055 (0.059)	DT 0.000 (0.002)	loss 0.008 (0.066)	Acc@1 100.000 (98.685)
Train: [1][730/1465]	BT 0.056 (0.059)	DT 0.000 (0.002)	loss 0.012 (0.065)	Acc@1 100.000 (98.694)
Train: [1][740/1465]	BT 0.058 (0.059)	DT 0.000 (0.002)	loss 0.016 (0.064)	Acc@1 100.000 (98.712)
Train: [1][750/1465]	BT 0.055 (0.059)	DT 0.000 (0.002)	loss 0.010 (0.064)	Acc@1 100.000 (98.729)
Train: [1][760/1465]	BT 0.055 (0.059)	DT 0.000 (0.002)	loss 0.009 (0.063)	Acc@1 100.000 (98.742)
Train: [1][770/1465]	BT 0.057 (0.059)	DT 0.000 (0.002)	loss 0.007 (0.062)	Acc@1 100.000 (98.754)
Train: [1][780/1465]	BT 0.042 (0.059)	DT 0.000 (0.002)	loss 0.007 (0.062)	Acc@1 100.000 (98.770)
Train: [1][790/1465]	BT 0.042 (0.058)	DT 0.000 (0.001)	loss 0.013 (0.061)	Acc@1 100.000 (98.786)
Train: [1][800/1465]	BT 0.056 (0.058)	DT 0.000 (0.001)	loss 0.031 (0.061)	Acc@1 100.000 (98.789)
Train: [1][810/1465]	BT 0.058 (0.058)	DT 0.000 (0.001)	loss 0.007 (0.060)	Acc@1 100.000 (98.796)
Train: [1][820/1465]	BT 0.057 (0.058)	DT 0.000 (0.001)	loss 0.007 (0.060)	Acc@1 100.000 (98.807)
Train: [1][830/1465]	BT 0.052 (0.058)	DT 0.000 (0.001)	loss 0.010 (0.059)	Acc@1 100.000 (98.814)
Train: [1][840/1465]	BT 0.054 (0.058)	DT 0.000 (0.001)	loss 0.083 (0.059)	Acc@1 96.875 (98.817)
Train: [1][850/1465]	BT 0.059 (0.058)	DT 0.000 (0.001)	loss 0.010 (0.058)	Acc@1 100.000 (98.824)
Train: [1][860/1465]	BT 0.055 (0.058)	DT 0.000 (0.001)	loss 0.015 (0.058)	Acc@1 100.000 (98.834)
Train: [1][870/1465]	BT 0.054 (0.058)	DT 0.000 (0.001)	loss 0.007 (0.057)	Acc@1 100.000 (98.840)
Train: [1][880/1465]	BT 0.055 (0.058)	DT 0.000 (0.001)	loss 0.011 (0.057)	Acc@1 100.000 (98.846)
Train: [1][890/1465]	BT 0.058 (0.058)	DT 0.000 (0.001)	loss 0.008 (0.057)	Acc@1 100.000 (98.848)
Train: [1][900/1465]	BT 0.052 (0.058)	DT 0.000 (0.001)	loss 0.011 (0.056)	Acc@1 100.000 (98.858)
Train: [1][910/1465]	BT 0.054 (0.058)	DT 0.000 (0.001)	loss 0.008 (0.056)	Acc@1 100.000 (98.863)
Train: [1][920/1465]	BT 0.055 (0.058)	DT 0.000 (0.001)	loss 0.007 (0.056)	Acc@1 100.000 (98.865)
Train: [1][930/1465]	BT 0.057 (0.058)	DT 0.000 (0.001)	loss 0.005 (0.055)	Acc@1 100.000 (98.874)
Train: [1][940/1465]	BT 0.054 (0.058)	DT 0.000 (0.001)	loss 0.007 (0.055)	Acc@1 100.000 (98.876)
Train: [1][950/1465]	BT 0.044 (0.058)	DT 0.000 (0.001)	loss 0.006 (0.054)	Acc@1 100.000 (98.885)
Train: [1][960/1465]	BT 0.051 (0.058)	DT 0.000 (0.001)	loss 0.007 (0.054)	Acc@1 100.000 (98.893)
Train: [1][970/1465]	BT 0.054 (0.058)	DT 0.000 (0.001)	loss 0.040 (0.054)	Acc@1 96.875 (98.898)
Train: [1][980/1465]	BT 0.043 (0.057)	DT 0.000 (0.001)	loss 0.032 (0.053)	Acc@1 96.875 (98.903)
Train: [1][990/1465]	BT 0.056 (0.057)	DT 0.000 (0.001)	loss 0.060 (0.053)	Acc@1 96.875 (98.911)
Train: [1][1000/1465]	BT 0.056 (0.057)	DT 0.000 (0.001)	loss 0.008 (0.053)	Acc@1 100.000 (98.922)
Train: [1][1010/1465]	BT 0.056 (0.057)	DT 0.000 (0.001)	loss 0.005 (0.052)	Acc@1 100.000 (98.926)
Train: [1][1020/1465]	BT 0.054 (0.057)	DT 0.000 (0.001)	loss 0.008 (0.052)	Acc@1 100.000 (98.928)
Train: [1][1030/1465]	BT 0.056 (0.057)	DT 0.000 (0.001)	loss 0.005 (0.052)	Acc@1 100.000 (98.935)
Train: [1][1040/1465]	BT 0.043 (0.057)	DT 0.000 (0.001)	loss 0.060 (0.052)	Acc@1 96.875 (98.933)
Train: [1][1050/1465]	BT 0.044 (0.057)	DT 0.000 (0.001)	loss 0.008 (0.051)	Acc@1 100.000 (98.943)
Train: [1][1060/1465]	BT 0.057 (0.057)	DT 0.000 (0.001)	loss 0.009 (0.051)	Acc@1 100.000 (98.953)
Train: [1][1070/1465]	BT 0.043 (0.057)	DT 0.000 (0.001)	loss 0.017 (0.051)	Acc@1 100.000 (98.960)
Train: [1][1080/1465]	BT 0.055 (0.057)	DT 0.000 (0.001)	loss 0.009 (0.051)	Acc@1 100.000 (98.961)
Train: [1][1090/1465]	BT 0.043 (0.057)	DT 0.000 (0.001)	loss 0.012 (0.050)	Acc@1 100.000 (98.965)
Train: [1][1100/1465]	BT 0.058 (0.057)	DT 0.000 (0.001)	loss 0.004 (0.050)	Acc@1 100.000 (98.972)
Train: [1][1110/1465]	BT 0.043 (0.057)	DT 0.000 (0.001)	loss 0.010 (0.050)	Acc@1 100.000 (98.978)
Train: [1][1120/1465]	BT 0.056 (0.057)	DT 0.000 (0.001)	loss 0.009 (0.049)	Acc@1 100.000 (98.984)
Train: [1][1130/1465]	BT 0.047 (0.057)	DT 0.000 (0.001)	loss 0.040 (0.049)	Acc@1 96.875 (98.991)
Train: [1][1140/1465]	BT 0.054 (0.057)	DT 0.000 (0.001)	loss 0.010 (0.049)	Acc@1 100.000 (98.994)
Train: [1][1150/1465]	BT 0.053 (0.057)	DT 0.000 (0.001)	loss 0.005 (0.048)	Acc@1 100.000 (99.003)
Train: [1][1160/1465]	BT 0.054 (0.057)	DT 0.000 (0.001)	loss 0.006 (0.048)	Acc@1 100.000 (99.011)
Train: [1][1170/1465]	BT 0.056 (0.057)	DT 0.000 (0.001)	loss 0.029 (0.048)	Acc@1 96.875 (99.017)
Train: [1][1180/1465]	BT 0.056 (0.057)	DT 0.000 (0.001)	loss 0.007 (0.048)	Acc@1 100.000 (99.023)
Train: [1][1190/1465]	BT 0.043 (0.057)	DT 0.000 (0.001)	loss 0.007 (0.047)	Acc@1 100.000 (99.023)
Train: [1][1200/1465]	BT 0.054 (0.057)	DT 0.000 (0.001)	loss 0.006 (0.047)	Acc@1 100.000 (99.029)
Train: [1][1210/1465]	BT 0.043 (0.057)	DT 0.000 (0.001)	loss 0.009 (0.047)	Acc@1 100.000 (99.032)
Train: [1][1220/1465]	BT 0.054 (0.056)	DT 0.000 (0.001)	loss 0.071 (0.047)	Acc@1 96.875 (99.032)
Train: [1][1230/1465]	BT 0.054 (0.056)	DT 0.000 (0.001)	loss 0.006 (0.046)	Acc@1 100.000 (99.040)
Train: [1][1240/1465]	BT 0.043 (0.056)	DT 0.000 (0.001)	loss 0.010 (0.046)	Acc@1 100.000 (99.042)
Train: [1][1250/1465]	BT 0.056 (0.056)	DT 0.000 (0.001)	loss 0.018 (0.046)	Acc@1 100.000 (99.048)
Train: [1][1260/1465]	BT 0.058 (0.056)	DT 0.000 (0.001)	loss 0.009 (0.046)	Acc@1 100.000 (99.053)
Train: [1][1270/1465]	BT 0.057 (0.056)	DT 0.000 (0.001)	loss 0.039 (0.046)	Acc@1 96.875 (99.050)
Train: [1][1280/1465]	BT 0.056 (0.056)	DT 0.000 (0.001)	loss 0.006 (0.045)	Acc@1 100.000 (99.055)
Train: [1][1290/1465]	BT 0.052 (0.056)	DT 0.000 (0.001)	loss 0.006 (0.045)	Acc@1 100.000 (99.062)
Train: [1][1300/1465]	BT 0.055 (0.056)	DT 0.000 (0.001)	loss 0.076 (0.045)	Acc@1 96.875 (99.065)
Train: [1][1310/1465]	BT 0.044 (0.056)	DT 0.000 (0.001)	loss 0.012 (0.045)	Acc@1 100.000 (99.072)
Train: [1][1320/1465]	BT 0.043 (0.056)	DT 0.000 (0.001)	loss 0.005 (0.044)	Acc@1 100.000 (99.077)
Train: [1][1330/1465]	BT 0.045 (0.056)	DT 0.000 (0.001)	loss 0.006 (0.044)	Acc@1 100.000 (99.074)
Train: [1][1340/1465]	BT 0.058 (0.056)	DT 0.000 (0.001)	loss 0.009 (0.044)	Acc@1 100.000 (99.081)
Train: [1][1350/1465]	BT 0.054 (0.056)	DT 0.000 (0.001)	loss 0.006 (0.044)	Acc@1 100.000 (99.086)
Train: [1][1360/1465]	BT 0.056 (0.056)	DT 0.000 (0.001)	loss 0.007 (0.043)	Acc@1 100.000 (99.088)
Train: [1][1370/1465]	BT 0.053 (0.056)	DT 0.000 (0.001)	loss 0.005 (0.043)	Acc@1 100.000 (99.088)
Train: [1][1380/1465]	BT 0.057 (0.056)	DT 0.000 (0.001)	loss 0.062 (0.043)	Acc@1 96.875 (99.085)
Train: [1][1390/1465]	BT 0.044 (0.056)	DT 0.000 (0.001)	loss 0.005 (0.043)	Acc@1 100.000 (99.089)
Train: [1][1400/1465]	BT 0.043 (0.056)	DT 0.000 (0.001)	loss 0.010 (0.043)	Acc@1 100.000 (99.092)
Train: [1][1410/1465]	BT 0.056 (0.056)	DT 0.000 (0.001)	loss 0.053 (0.043)	Acc@1 96.875 (99.094)
Train: [1][1420/1465]	BT 0.051 (0.056)	DT 0.000 (0.001)	loss 0.007 (0.043)	Acc@1 100.000 (99.098)
Train: [1][1430/1465]	BT 0.043 (0.056)	DT 0.000 (0.001)	loss 0.005 (0.042)	Acc@1 100.000 (99.102)
Train: [1][1440/1465]	BT 0.043 (0.056)	DT 0.000 (0.001)	loss 0.005 (0.042)	Acc@1 100.000 (99.106)
Train: [1][1450/1465]	BT 0.044 (0.056)	DT 0.000 (0.001)	loss 0.088 (0.042)	Acc@1 96.875 (99.110)
Train: [1][1460/1465]	BT 0.044 (0.056)	DT 0.000 (0.001)	loss 0.005 (0.042)	Acc@1 100.000 (99.110)
Train epoch 1, total time 81.43, accuracy:99.11
Test: [0/184]	Time 1.800 (1.800)	Loss 0.0022 (0.0022)	Acc@1 100.000 (100.000)
Test: [10/184]	Time 0.084 (0.256)	Loss 0.5251 (0.1751)	Acc@1 84.375 (94.034)
Test: [20/184]	Time 0.086 (0.174)	Loss 0.0018 (0.9971)	Acc@1 100.000 (74.033)
Test: [30/184]	Time 0.083 (0.146)	Loss 0.0015 (0.6895)	Acc@1 100.000 (82.056)
Test: [40/184]	Time 0.082 (0.130)	Loss 0.1600 (0.5492)	Acc@1 96.875 (85.747)
Test: [50/184]	Time 0.081 (0.121)	Loss 0.0025 (0.4503)	Acc@1 100.000 (88.358)
Test: [60/184]	Time 0.081 (0.115)	Loss 0.0752 (0.3818)	Acc@1 98.438 (90.138)
Test: [70/184]	Time 0.081 (0.110)	Loss 0.0029 (0.3307)	Acc@1 100.000 (91.483)
Test: [80/184]	Time 0.083 (0.107)	Loss 0.0025 (0.2919)	Acc@1 100.000 (92.496)
Test: [90/184]	Time 0.081 (0.104)	Loss 0.0098 (0.2664)	Acc@1 100.000 (93.183)
Test: [100/184]	Time 0.082 (0.102)	Loss 0.0677 (0.2415)	Acc@1 98.438 (93.812)
Test: [110/184]	Time 0.081 (0.100)	Loss 0.0019 (0.2201)	Acc@1 100.000 (94.355)
Test: [120/184]	Time 0.081 (0.099)	Loss 0.0207 (0.2064)	Acc@1 100.000 (94.744)
Test: [130/184]	Time 0.082 (0.098)	Loss 0.1009 (0.1953)	Acc@1 95.312 (94.955)
Test: [140/184]	Time 0.084 (0.097)	Loss 0.0836 (0.1864)	Acc@1 96.875 (95.224)
Test: [150/184]	Time 0.095 (0.096)	Loss 0.1045 (0.1859)	Acc@1 96.875 (95.302)
Test: [160/184]	Time 0.082 (0.095)	Loss 0.0301 (0.1768)	Acc@1 98.438 (95.545)
Test: [170/184]	Time 0.082 (0.094)	Loss 0.0715 (0.1718)	Acc@1 98.438 (95.687)
Test: [180/184]	Time 0.083 (0.094)	Loss 0.1379 (0.1644)	Acc@1 96.875 (95.891)
 * Acc@1 95.930
epoch 1: Best model saved to save/SecondStage/sp_models/best_classifier.pth
Train: [2][10/1465]	BT 0.055 (0.218)	DT 0.000 (0.166)	loss 0.053 (0.026)	Acc@1 96.875 (99.062)
Train: [2][20/1465]	BT 0.057 (0.137)	DT 0.000 (0.083)	loss 0.005 (0.021)	Acc@1 100.000 (99.375)
Train: [2][30/1465]	BT 0.056 (0.110)	DT 0.000 (0.055)	loss 0.007 (0.016)	Acc@1 100.000 (99.583)
Train: [2][40/1465]	BT 0.057 (0.097)	DT 0.000 (0.042)	loss 0.007 (0.013)	Acc@1 100.000 (99.688)
Train: [2][50/1465]	BT 0.057 (0.088)	DT 0.000 (0.033)	loss 0.007 (0.012)	Acc@1 100.000 (99.750)
Train: [2][60/1465]	BT 0.045 (0.083)	DT 0.000 (0.028)	loss 0.005 (0.011)	Acc@1 100.000 (99.792)
Train: [2][70/1465]	BT 0.058 (0.079)	DT 0.000 (0.024)	loss 0.008 (0.012)	Acc@1 100.000 (99.688)
Train: [2][80/1465]	BT 0.057 (0.076)	DT 0.000 (0.021)	loss 0.006 (0.013)	Acc@1 100.000 (99.648)
Train: [2][90/1465]	BT 0.058 (0.073)	DT 0.000 (0.019)	loss 0.006 (0.014)	Acc@1 100.000 (99.583)
Train: [2][100/1465]	BT 0.058 (0.072)	DT 0.000 (0.017)	loss 0.032 (0.015)	Acc@1 96.875 (99.531)
Train: [2][110/1465]	BT 0.055 (0.070)	DT 0.000 (0.015)	loss 0.005 (0.017)	Acc@1 100.000 (99.489)
Train: [2][120/1465]	BT 0.045 (0.069)	DT 0.000 (0.014)	loss 0.005 (0.016)	Acc@1 100.000 (99.531)
Train: [2][130/1465]	BT 0.043 (0.068)	DT 0.000 (0.013)	loss 0.006 (0.016)	Acc@1 100.000 (99.519)
Train: [2][140/1465]	BT 0.058 (0.067)	DT 0.000 (0.012)	loss 0.006 (0.018)	Acc@1 100.000 (99.464)
Train: [2][150/1465]	BT 0.056 (0.066)	DT 0.000 (0.011)	loss 0.007 (0.018)	Acc@1 100.000 (99.500)
Train: [2][160/1465]	BT 0.057 (0.065)	DT 0.001 (0.011)	loss 0.012 (0.018)	Acc@1 100.000 (99.473)
Train: [2][170/1465]	BT 0.058 (0.065)	DT 0.000 (0.010)	loss 0.005 (0.017)	Acc@1 100.000 (99.504)
Train: [2][180/1465]	BT 0.057 (0.064)	DT 0.000 (0.009)	loss 0.006 (0.017)	Acc@1 100.000 (99.514)
Train: [2][190/1465]	BT 0.043 (0.064)	DT 0.000 (0.009)	loss 0.006 (0.017)	Acc@1 100.000 (99.539)
Train: [2][200/1465]	BT 0.056 (0.063)	DT 0.000 (0.009)	loss 0.004 (0.017)	Acc@1 100.000 (99.531)
Train: [2][210/1465]	BT 0.054 (0.063)	DT 0.000 (0.008)	loss 0.010 (0.017)	Acc@1 100.000 (99.539)
Train: [2][220/1465]	BT 0.058 (0.063)	DT 0.000 (0.008)	loss 0.004 (0.016)	Acc@1 100.000 (99.560)
Train: [2][230/1465]	BT 0.056 (0.062)	DT 0.000 (0.007)	loss 0.008 (0.016)	Acc@1 100.000 (99.565)
Train: [2][240/1465]	BT 0.058 (0.062)	DT 0.000 (0.007)	loss 0.005 (0.016)	Acc@1 100.000 (99.583)
Train: [2][250/1465]	BT 0.057 (0.062)	DT 0.000 (0.007)	loss 0.005 (0.016)	Acc@1 100.000 (99.600)
Train: [2][260/1465]	BT 0.058 (0.062)	DT 0.000 (0.007)	loss 0.004 (0.015)	Acc@1 100.000 (99.603)
Train: [2][270/1465]	BT 0.054 (0.061)	DT 0.000 (0.006)	loss 0.121 (0.016)	Acc@1 96.875 (99.572)
Train: [2][280/1465]	BT 0.056 (0.061)	DT 0.000 (0.006)	loss 0.093 (0.016)	Acc@1 96.875 (99.576)
Train: [2][290/1465]	BT 0.052 (0.061)	DT 0.000 (0.006)	loss 0.016 (0.016)	Acc@1 100.000 (99.580)
Train: [2][300/1465]	BT 0.055 (0.061)	DT 0.000 (0.006)	loss 0.005 (0.016)	Acc@1 100.000 (99.562)
Train: [2][310/1465]	BT 0.043 (0.061)	DT 0.000 (0.006)	loss 0.049 (0.017)	Acc@1 96.875 (99.526)
Train: [2][320/1465]	BT 0.051 (0.060)	DT 0.000 (0.005)	loss 0.071 (0.017)	Acc@1 96.875 (99.512)
Train: [2][330/1465]	BT 0.052 (0.060)	DT 0.000 (0.005)	loss 0.009 (0.017)	Acc@1 100.000 (99.527)
Train: [2][340/1465]	BT 0.058 (0.060)	DT 0.001 (0.005)	loss 0.005 (0.017)	Acc@1 100.000 (99.531)
Train: [2][350/1465]	BT 0.056 (0.060)	DT 0.000 (0.005)	loss 0.005 (0.017)	Acc@1 100.000 (99.536)
Train: [2][360/1465]	BT 0.056 (0.060)	DT 0.000 (0.005)	loss 0.006 (0.017)	Acc@1 100.000 (99.531)
Train: [2][370/1465]	BT 0.055 (0.060)	DT 0.000 (0.005)	loss 0.008 (0.017)	Acc@1 100.000 (99.535)
Train: [2][380/1465]	BT 0.055 (0.059)	DT 0.000 (0.005)	loss 0.004 (0.016)	Acc@1 100.000 (99.539)
Train: [2][390/1465]	BT 0.057 (0.059)	DT 0.000 (0.004)	loss 0.005 (0.016)	Acc@1 100.000 (99.535)
Train: [2][400/1465]	BT 0.054 (0.059)	DT 0.000 (0.004)	loss 0.002 (0.016)	Acc@1 100.000 (99.547)
Train: [2][410/1465]	BT 0.054 (0.059)	DT 0.000 (0.004)	loss 0.021 (0.016)	Acc@1 100.000 (99.558)
